epoch,train_loss,val_loss,val_accuracy,val_precision,val_recall,val_macro_f1
1,0.3396302749527874,0.3352968538694255,0.5869726128793487,0.6711410099212534,0.9107531461177227,0.7383559372742126
2,0.20169900944817537,0.5900222356896503,0.6750555144337528,0.7243550553404435,0.8506517640939094,0.7729601326432706
3,0.15497168488560736,0.5017283732563721,0.659141376757957,0.7042378839529502,0.880157257805595,0.7647960416233686
4,0.11637704564966393,0.4588229318048052,0.6965210954848261,0.7444643683389518,0.8569442615507088,0.7910452967746054
5,0.10323260343669328,0.6467306887679943,0.692820133234641,0.7338831506854893,0.8670397115427066,0.7869909893937515
6,0.09090715359739722,0.6858761896035303,0.6917098445595855,0.7226417965044465,0.8380411440744707,0.7655102975588809
7,0.09300281183953908,0.6076888621934338,0.6983715766099186,0.7762962422979062,0.820870420008814,0.7951419477149686
8,0.06517323190360766,0.5921029429096897,0.7357512953367875,0.779840622259911,0.8815661505749027,0.8247212595313718
9,0.0578877295359845,0.8604858549632998,0.692820133234641,0.7896676438592631,0.8327054737737297,0.8030179003244381
10,0.06516239270854154,0.5596388847540256,0.7276091783863805,0.7810873305807458,0.8504986564946966,0.8128555381543736
11,0.053064940089636754,0.7895421728017505,0.7176165803108808,0.7827324902506284,0.8479999088536877,0.8119409136729556
12,0.04765059893012945,0.780375063661996,0.7102146558105107,0.7720814341062046,0.8518528897346551,0.8055648875757463
13,0.04451890801186036,0.9028660394278921,0.7150259067357513,0.7502860669237383,0.833234526060933,0.7861152873420296
14,0.04491421899997,0.8861588932116061,0.7102146558105107,0.7673287016400548,0.8557245759351082,0.8047536737479495
15,0.06391246464118516,0.7137704976923284,0.7153960029607698,0.7698958624161591,0.8344066509893597,0.7943867789744326
